1,arvore,amarelo,anta
2,bola,baixo,basquete
3,casa,canoa,coruja
4,dado,dente,duende
5,escola,estrela,elefante
6,foca,fada,flauta
7,gato,grilo,ganso
8,harpa,horta,helice
9,ilha,iguana,icone
10,jarro,jabuti,janela
11,kiwi,kilo,karate
12,leao,lagoa,lanterna
13,mesa,manga,moeda
14,nave,ninho,nota
15,olho,ovelha,onda
16,pato,piano,prato
17,quarto,queijo,quina
18,rato,rede,rosto
19,sol,sapo,sabia
20,touro,tigre,tampa
21,urso,unha,urna
22,vaca,vela,vento
23,web,wifi,whisky
24,xale,xarope,xote
25,yeti,yoga,yakis
26,zebra,zorro,zero
